pw_auc_roc,0.00069657,0.00084625,0.00090237,0.00112839,0.00156274,0.00253329,0.00450259,0.00853492,0.01550956,0.02605422,0.05186981,0.10883379,0.24599160
pwf,0.00041395,0.00041445,0.00049927,0.00055371,0.00066288,0.00112111,0.00137294,0.00221607,0.00382781,0.00720992,0.01252902,0.02116143,0.03601731
rbf,0.00074249,0.00083851,0.00113443,0.00209398,0.00438052,0.01237455,0.03576956,0.15831357,0.60658551,2.19872657,8.49440345,30.60821481,121.92341888
swf,0.00052556,0.00054049,0.00063646,0.00086426,0.00098399,0.00138392,0.00208920,0.00361152,0.00631153,0.01186267,0.01980158,0.03598632,0.06860458
taf,0.00103367,0.00260703,0.00374779,0.00821697,0.01613295,0.03837121,0.11790950,0.43661151,1.53394526,4.96058281,20.07503923,72.64558656,287.32569767
td,0.00045454,0.00078994,0.00093543,0.00158745,0.00248361,0.00416847,0.00870344,0.01738173,0.03401682,0.06884922,0.13751350,0.27486664,0.54325687
tdir,0.00044236,0.00044971,0.00045894,0.00055280,0.00088454,0.00179188,0.00272923,0.00535528,0.01109069,0.01887428,0.03787283,0.07474690,0.15623592
ttf,0.00065927,0.00070198,0.00074398,0.00088778,0.00110036,0.00150911,0.00242588,0.00417558,0.00754892,0.01411817,0.02713983,0.05426703,0.10885770
vus_pr,0.08050090,0.13177913,0.18052436,0.41496874,0.73927301,1.35487221,2.56066626,4.87959618,9.42723101,17.91744977,37.42108921,72.42718734,146.09094771
vus_roc,0.08042079,0.13189985,0.18070756,0.41497156,0.73977633,1.35481597,2.55795898,4.88477110,9.43959184,17.95260617,37.33736761,72.43477150,145.98786503
wdd,0.00285467,0.00536619,0.01007668,0.02015048,0.04017883,0.07960141,0.15896135,0.31629421,0.63047315,1.25819678,2.44183778,4.58700480,8.93056173
