metric,input_type,lower_is_better,taxonomy_root,taxonomy_leaf,taxonomy_path,reference_id,scenario_id,scenario_key,family,level_idx,level_factor,lead_steps,delay_steps,score_raw,score_oriented,base_score_oriented,score_gap,normalized_penalty,normalized_score
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.72190476,0.72190476,1.00000000,0.27809524,0.29948718,0.70051282
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.51333333,0.51333333,1.00000000,0.48666667,0.52410256,0.47589744
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__late_detection_l04,late_detection_l04,late_detection,4,0.25000000,0,14,0.27809524,0.27809524,1.00000000,0.72190476,0.77743590,0.22256410
adc,binary,False,TEM,PTDM,TEM/PTDM,r3_multi_short,r3_multi_short__late_detection_l05,late_detection_l05,late_detection,5,0.10000000,0,16,0.09619048,0.09619048,1.00000000,0.90380952,0.97333333,0.02666667
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__on_time,on_time,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__early_warning_l01,early_warning_l01,early_warning,1,0.25000000,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__early_warning_l02,early_warning_l02,early_warning,2,0.50000000,9,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__early_warning_l03,early_warning_l03,early_warning,3,0.75000000,14,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__early_warning_l04,early_warning_l04,early_warning,4,1.00000000,18,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__early_warning_l05,early_warning_l05,early_warning,5,1.25000000,22,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__late_detection_l01,late_detection_l01,late_detection,1,0.90000000,0,2,0.88000000,0.88000000,1.00000000,0.12000000,0.12923077,0.87076923
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__late_detection_l02,late_detection_l02,late_detection,2,0.75000000,0,4,0.76000000,0.76000000,1.00000000,0.24000000,0.25846154,0.74153846
adc,binary,False,TEM,PTDM,TEM/PTDM,r4_two_close,r4_two_close__late_detection_l03,late_detection_l03,late_detection,3,0.50000000,0,9,0.48000000,0.48000000,1.00000000,0.52000000,0.56000000,0.44000000
